uid;value;date;station_id
139;33;2022-08-20T06:00:00Z;152210170
140;33;2022-08-20T05:00:00Z;152210170
141;33;2022-08-20T04:00:00Z;152210170
142;33;2022-08-20T12:00:00Z;152210170
143;33;2022-08-20T11:00:00Z;152210170
144;32;2022-08-20T15:00:00Z;152210170
145;32;2022-08-20T14:00:00Z;152210170
146;32;2022-08-20T13:00:00Z;152210170
147;32;2022-08-20T16:00:00Z;152210170
148;32;2022-08-20T19:00:00Z;152210170
149;32;2022-08-20T18:00:00Z;152210170
150;32;2022-08-20T17:00:00Z;152210170
151;30;2022-08-21T05:00:00Z;152210170
152;30;2022-08-21T04:00:00Z;152210170
153;31;2022-08-21T03:00:00Z;152210170
154;31;2022-08-21T02:00:00Z;152210170
155;31;2022-08-21T01:00:00Z;152210170
156;31;2022-08-21T00:00:00Z;152210170
157;31;2022-08-20T23:00:00Z;152210170
158;31;2022-08-20T22:00:00Z;152210170
159;31;2022-08-20T21:00:00Z;152210170
160;31;2022-08-20T20:00:00Z;152210170
161;30;2022-08-21T11:00:00Z;152210170
162;30;2022-08-21T10:00:00Z;152210170
163;30;2022-08-21T09:00:00Z;152210170
164;30;2022-08-21T08:00:00Z;152210170
165;30;2022-08-21T07:00:00Z;152210170
166;30;2022-08-21T06:00:00Z;152210170
167;30;2022-08-21T15:00:00Z;152210170
168;30;2022-08-21T14:00:00Z;152210170
169;30;2022-08-21T13:00:00Z;152210170
170;30;2022-08-21T12:00:00Z;152210170
171;29;2022-08-21T19:00:00Z;152210170
172;29;2022-08-21T18:00:00Z;152210170
173;30;2022-08-21T17:00:00Z;152210170
174;30;2022-08-21T16:00:00Z;152210170
175;28;2022-08-22T04:00:00Z;152210170
176;28;2022-08-22T03:00:00Z;152210170
177;28;2022-08-22T02:00:00Z;152210170
178;28;2022-08-22T01:00:00Z;152210170
179;28;2022-08-22T00:00:00Z;152210170
180;29;2022-08-21T23:00:00Z;152210170
181;29;2022-08-21T22:00:00Z;152210170
182;29;2022-08-21T21:00:00Z;152210170
183;29;2022-08-21T20:00:00Z;152210170
184;28;2022-08-22T06:00:00Z;152210170
185;28;2022-08-22T05:00:00Z;152210170
186;28;2022-08-22T08:00:00Z;152210170
187;28;2022-08-22T07:00:00Z;152210170
188;28;2022-08-22T11:00:00Z;152210170
189;28;2022-08-22T10:00:00Z;152210170
190;28;2022-08-22T09:00:00Z;152210170
191;28;2022-08-22T13:00:00Z;152210170
192;28;2022-08-22T12:00:00Z;152210170
193;28;2022-08-22T19:00:00Z;152210170
194;28;2022-08-22T18:00:00Z;152210170
195;28;2022-08-22T17:00:00Z;152210170
196;28;2022-08-22T16:00:00Z;152210170
197;28;2022-08-22T15:00:00Z;152210170
198;28;2022-08-22T14:00:00Z;152210170
199;30;2022-08-23T04:00:00Z;152210170
200;29;2022-08-23T03:00:00Z;152210170
201;29;2022-08-23T02:00:00Z;152210170
202;28;2022-08-23T01:00:00Z;152210170
203;28;2022-08-23T00:00:00Z;152210170
204;28;2022-08-22T23:00:00Z;152210170
205;28;2022-08-22T22:00:00Z;152210170
206;28;2022-08-22T21:00:00Z;152210170
207;28;2022-08-22T20:00:00Z;152210170
208;29;2022-08-23T06:00:00Z;152210170
209;30;2022-08-23T05:00:00Z;152210170
210;29;2022-08-23T07:00:00Z;152210170
211;29;2022-08-23T11:00:00Z;152210170
212;29;2022-08-23T10:00:00Z;152210170
213;29;2022-08-23T09:00:00Z;152210170
214;29;2022-08-23T08:00:00Z;152210170
215;29;2022-08-23T15:00:00Z;152210170
216;29;2022-08-23T14:00:00Z;152210170
